asset	idAsset
bank	idBank
bank_country	idBank
bank_country	idCountry
bankAccount	idBankAccount
blackList	idBlackList
businessAddress	idBusinessAddress
businessProfile	idBusinessProfile
catalog	idCatalog
concept	idConcept
country	idCountry
coupon	idCoupon
couponPackage	idCouponPackage
document	idDocument
legalDocument	idLegalDocument
legalDocumentField	idLegalDocumentField
loan	idLoan
loanRequest	idLoanRequest
logActivity	idLog
logDeleteInactivePerson	idPerson
logDetailVicionarioNetwork	idLogDetailVicionarioNetwork
logPersonHistory	idLogPersonHistory
logPersonStatus	idLogPersonStatus
logRoi	idLogRoi
logVicionarioKycHistory	idLogVicionarioKycHistory
logVicionarioKycStatus	idLogVicionarioKycStatus
logVicionarioNetwork	idLogVicionarioNetwork
logVicionarioNetworkSystem	idLogVicionarioNetworkSystem
logVicionarioPointsHistory	idLogVicionarioPointsHistory
mediaResource	idMediaResource
message	idMessage
messageDetail	idMessage
messageDetail	idRecipient
module	idModule
moduleAction	idAction
moduleActionPermission	idActionPermission
modulePermission	idModule
modulePermission	idPerson
movement	idMovement
news	idNews
notification	idNotification
notificationDetail	idNotificationDetail
package	idPackage
parameter	idParameter
person	idPerson
rank	idRank
role	idRole
roleModule	idRole
roleModule	idModule
testimonial	idTestimonial
ticket	idTicket
ticketAssignmentTracking	idTicket
ticketTracker	idTicket
validationRules	moduleKey
validationRules	code
vicionario	idVicionario
vicionarioAddress	idAddress
vicionarioDocument	idVicionario
vicionarioDocument	idDocument
vicionarioKyc	idVicionario
vicionarioKycInfoMatched	idVicionario
vicionarioLeadershipBonusRecord	idRank
vicionarioLeadershipBonusRecord	idVicionario
vicionarioLegalDocument	idVicionarioLegalDocument
vicionarioMoneyAccount	idVicionarioMoneyAccount
vicionarioNewUserMigracion	idTabUsers
vicionarioNewUserMigracion	idVicionario
vicionarioPackage	idVicionarioPackage
vicionarioPackageAvailableMovement	idVicionarioPackage
vicionarioPackageAvailableMovement	numberPeriod
vicionarioPackagePermission	idVicionarioPackagePermission
vicionarioRankRecord	idRank
vicionarioRankRecord	idVicionario
wallet	idWallet
watchedNews	idWatchedNews
withdrawalRequest	idWithdrawalRequest
